date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:40	118347/118347	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2014:49:56%20GMT	http://kirichik.com/rhythm/mp-index.html	E:/AnhTT/Web%20Template/Rhythm/kirichik.com/rhythm/mp-index.html	(from )
14:17:42	1122/1122	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Nov%202016%2009:12:17%20GMT	http://kirichik.com/robots.txt		(from )
14:17:42	1591/1591	---M--	200	added ('OK')	image/png	etag:%2254b7e8ba-637%22	http://kirichik.com/rhythm/images/favicon.png	E:/AnhTT/Web%20Template/Rhythm/kirichik.com/rhythm/images/favicon.png	(from http://kirichik.com/rhythm/mp-index.html)
14:17:43	78438/78438	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Dec%202014%2010:44:53%20GMT	http://kirichik.com/rhythm/css/bootstrap.min.css	E:/AnhTT/Web%20Template/Rhythm/kirichik.com/rhythm/css/bootstrap.min.css	(from http://kirichik.com/rhythm/mp-index.html)
14:17:44	146284/146284	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202017%2012:27:54%20GMT	http://kirichik.com/rhythm/css/style.css	E:/AnhTT/Web%20Template/Rhythm/kirichik.com/rhythm/css/style.css	(from http://kirichik.com/rhythm/mp-index.html)
14:17:45	14893/14893	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Jan%202017%2013:04:34%20GMT	http://kirichik.com/rhythm/css/style-responsive.css	E:/AnhTT/Web%20Template/Rhythm/kirichik.com/rhythm/css/style-responsive.css	(from http://kirichik.com/rhythm/mp-index.html)
14:17:45	53431/53431	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Sep%202014%2008:54:44%20GMT	http://kirichik.com/rhythm/css/animate.min.css	E:/AnhTT/Web%20Template/Rhythm/kirichik.com/rhythm/css/animate.min.css	(from http://kirichik.com/rhythm/mp-index.html)
14:17:45	10635/10635	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Aug%202014%2010:26:45%20GMT	http://kirichik.com/rhythm/css/vertical-rhythm.min.css	E:/AnhTT/Web%20Template/Rhythm/kirichik.com/rhythm/css/vertical-rhythm.min.css	(from http://kirichik.com/rhythm/mp-index.html)
14:17:46	5968/5968	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Jul%202014%2013:04:04%20GMT	http://kirichik.com/rhythm/css/owl.carousel.css	E:/AnhTT/Web%20Template/Rhythm/kirichik.com/rhythm/css/owl.carousel.css	(from http://kirichik.com/rhythm/mp-index.html)
14:17:46	7789/7789	---MCZ	200	added ('OK')	text/css	date:Wed,%2006%20May%202015%2012:26:05%20GMT	http://kirichik.com/rhythm/css/magnific-popup.css	E:/AnhTT/Web%20Template/Rhythm/kirichik.com/rhythm/css/magnific-popup.css	(from http://kirichik.com/rhythm/mp-index.html)
